年齢,性別,婚姻ステータス,部署,職種,給料,職位,勤続年数,勤務企業数,ストックオプション,昇給率,人事評価,残業,出張頻度,家からの距離,教育レベル,教育分野,昨年の研修受講回数,仕事への関与度,仕事満足度,職場環境満足度,人関関係満足度,ワークライフバランス,離職,入社日,退社日
35,男性,離婚,研究開発,ラボ技術者,3917,1,3,1,1,20,4,FALSE,たまに,10,3,その他,4,3,4,2,1,2,FALSE,2014-09-21,
42,男性,既婚,営業,マネージャー,18303,5,21,6,0,13,3,FALSE,たまに,5,2,マーケティング,3,3,3,4,2,4,FALSE,2016-08-04,
50,男性,既婚,研究開発,ラボ技術者,2380,1,8,4,0,18,3,FALSE,たまに,9,3,ライフサイエンス,5,3,4,1,2,3,FALSE,2016-01-23,
59,女性,独身,研究開発,製造ディレクター,13726,4,30,3,0,13,3,TRUE,たまに,2,3,ライフサイエンス,4,2,4,3,1,3,FALSE,2012-01-10,
37,女性,既婚,研究開発,ヘルスケア担当,4777,2,15,5,0,15,3,FALSE,たまに,11,2,医療,2,1,2,1,1,1,TRUE,2014-12-04,2015-12-18
55,男性,既婚,研究開発,ヘルスケア担当,6385,2,17,3,2,14,3,TRUE,頻繁,18,4,医療,3,3,2,3,4,3,FALSE,2009-06-01,
41,女性,離婚,研究開発,リサーチディレクター,19973,5,21,1,2,22,4,FALSE,なし,7,1,ライフサイエンス,3,1,3,2,2,3,FALSE,1996-12-21,
38,男性,独身,営業,営業幹部,6861,2,19,8,0,12,3,TRUE,たまに,3,4,ライフサイエンス,1,3,4,2,3,3,FALSE,2016-06-09,
26,男性,独身,営業,営業幹部,4969,2,7,8,0,18,3,FALSE,なし,29,2,医療,6,1,1,2,4,3,TRUE,2010-10-09,2012-11-13
52,女性,既婚,営業,マネージャー,19845,5,33,1,1,15,3,FALSE,たまに,2,1,マーケティング,3,1,4,1,4,3,TRUE,1984-01-18,2016-09-04
44,女性,既婚,営業,営業幹部,13320,4,23,3,1,18,3,TRUE,たまに,28,3,医療,2,4,4,4,3,3,FALSE,2005-03-09,
50,女性,既婚,営業,営業幹部,6347,2,19,0,1,12,3,FALSE,なし,1,3,ライフサイエンス,3,3,3,4,1,3,FALSE,1999-08-27,
36,女性,独身,研究開発,ラボ技術者,2743,1,18,1,0,16,3,FALSE,たまに,16,4,ライフサイエンス,1,4,1,3,3,3,TRUE,1992-08-01,2009-09-19
39,女性,独身,研究開発,製造ディレクター,10880,3,21,1,0,13,3,TRUE,頻繁,22,3,医療,2,3,1,4,3,3,FALSE,1996-12-03,
33,女性,独身,営業,営業担当,2342,1,3,0,0,19,3,FALSE,なし,8,1,ライフサイエンス,2,2,4,2,4,2,FALSE,2015-08-27,
45,女性,既婚,営業,マネージャー,17650,4,26,3,1,13,3,FALSE,たまに,11,2,ライフサイエンス,4,3,4,4,2,4,FALSE,2008-01-03,
32,女性,独身,研究開発,ラボ技術者,4025,1,10,9,0,12,3,FALSE,なし,29,4,医療,2,3,3,4,2,3,FALSE,2009-06-21,
34,男性,離婚,営業,営業幹部,9725,2,16,0,1,11,3,FALSE,たまに,1,4,マーケティング,2,4,4,2,4,2,FALSE,2002-09-01,
59,男性,既婚,営業,マネージャー,11904,3,14,3,1,14,3,TRUE,たまに,1,2,技術系,1,3,4,2,3,1,FALSE,2011-09-09,
45,男性,独身,人事,人事,2177,1,6,1,0,16,3,FALSE,たまに,24,4,医療,3,3,2,2,1,3,FALSE,2011-08-15,
53,女性,既婚,営業,営業幹部,7525,3,30,2,1,12,3,FALSE,頻繁,2,3,マーケティング,2,2,2,3,1,3,FALSE,2002-12-26,
36,男性,離婚,研究開発,ラボ技術者,4834,2,9,7,1,14,3,FALSE,たまに,15,3,その他,3,3,3,1,2,2,TRUE,2011-09-12,2012-09-24
26,男性,既婚,研究開発,リサーチサイエンティスト,2042,1,6,6,1,14,3,TRUE,頻繁,2,3,ライフサイエンス,2,3,1,1,2,3,TRUE,2010-01-08,2013-11-24
34,女性,既婚,営業,営業担当,2220,1,1,1,1,19,3,TRUE,たまに,10,4,ライフサイエンス,2,3,3,3,4,3,FALSE,2016-08-07,
28,男性,既婚,営業,営業担当,1052,1,1,1,0,22,4,FALSE,たまに,10,1,医療,5,3,2,4,2,3,FALSE,2016-07-14,
38,男性,既婚,研究開発,リサーチサイエンティスト,2821,1,8,3,1,16,3,FALSE,頻繁,3,4,その他,2,3,3,3,1,3,FALSE,2015-08-08,
50,男性,既婚,研究開発,リサーチディレクター,19237,5,29,2,1,11,3,TRUE,たまに,2,4,医療,2,3,3,2,4,2,FALSE,2009-04-20,
37,女性,独身,研究開発,ヘルスケア担当,4107,2,8,3,0,15,3,FALSE,たまに,3,3,その他,3,3,2,4,1,2,FALSE,2013-08-09,
40,男性,既婚,営業,営業幹部,8396,2,8,1,1,14,3,FALSE,たまに,26,3,マーケティング,3,3,1,3,2,2,FALSE,2010-07-02,
26,女性,離婚,研究開発,リサーチサイエンティスト,2007,1,5,1,2,13,3,FALSE,頻繁,1,1,医療,5,2,3,1,3,3,FALSE,2012-12-19,
46,男性,離婚,研究開発,リサーチディレクター,19627,5,23,9,2,17,3,FALSE,たまに,1,4,医療,0,3,4,4,4,3,FALSE,2015-09-15,
54,女性,既婚,営業,営業幹部,10686,3,13,6,1,11,3,FALSE,たまに,2,4,ライフサイエンス,4,2,3,3,2,3,FALSE,2008-01-16,
56,女性,既婚,研究開発,リサーチサイエンティスト,2942,1,18,2,1,19,3,FALSE,頻繁,9,3,医療,4,3,3,1,2,3,FALSE,2012-06-18,
36,女性,独身,研究開発,製造ディレクター,8858,3,15,0,0,11,3,FALSE,たまに,12,5,医療,2,2,4,4,2,2,FALSE,2003-01-16,
55,男性,独身,研究開発,マネージャー,16756,4,31,7,0,15,3,FALSE,なし,2,1,医療,3,2,1,3,2,4,FALSE,2008-03-18,
43,男性,離婚,営業,営業幹部,10798,3,18,5,1,13,3,FALSE,たまに,25,3,医療,5,2,4,3,3,3,FALSE,2016-04-01,
20,女性,独身,営業,営業担当,2323,1,2,1,0,14,3,TRUE,頻繁,9,3,マーケティング,3,3,4,4,2,3,TRUE,2011-03-02,2013-03-25
21,女性,独身,研究開発,ラボ技術者,1416,1,1,1,0,13,3,FALSE,たまに,10,3,ライフサイエンス,6,2,1,3,1,2,TRUE,2015-04-08,2016-05-26
46,女性,離婚,研究開発,リサーチサイエンティスト,4615,2,19,8,3,23,4,TRUE,たまに,8,4,ライフサイエンス,2,2,1,4,1,3,FALSE,2001-11-17,
51,男性,既婚,研究開発,リサーチサイエンティスト,2461,1,18,9,3,12,3,TRUE,たまに,4,4,ライフサイエンス,2,3,3,1,3,4,TRUE,2006-04-14,2017-01-17
28,男性,独身,研究開発,ヘルスケア担当,8722,3,10,1,0,12,3,FALSE,なし,24,2,技術系,2,2,1,2,1,2,TRUE,2002-04-12,2013-03-07
26,男性,既婚,研究開発,ラボ技術者,3955,1,6,1,2,16,3,FALSE,たまに,1,2,医療,2,2,1,1,1,3,FALSE,2012-08-07,
30,男性,既婚,研究開発,製造ディレクター,9957,2,7,0,1,15,3,FALSE,たまに,20,3,その他,1,3,1,3,3,2,FALSE,2011-10-27,
41,女性,既婚,研究開発,リサーチサイエンティスト,3376,1,10,1,0,13,3,FALSE,たまに,7,2,技術系,3,4,3,2,3,3,FALSE,2007-08-18,
38,女性,既婚,研究開発,ヘルスケア担当,8823,3,20,0,1,18,3,FALSE,たまに,17,1,ライフサイエンス,4,2,3,3,1,2,FALSE,1998-07-01,
40,男性,既婚,研究開発,ヘルスケア担当,10322,3,14,4,1,20,4,FALSE,たまに,20,4,技術系,6,3,4,1,4,3,FALSE,2006-02-02,
27,男性,既婚,研究開発,ラボ技術者,4621,1,3,1,3,19,3,FALSE,なし,8,5,ライフサイエンス,4,1,3,1,4,3,FALSE,2014-12-05,
55,男性,既婚,研究開発,製造ディレクター,10976,3,23,3,1,18,3,FALSE,頻繁,2,1,ライフサイエンス,4,3,2,4,2,3,FALSE,2014-11-23,
28,女性,独身,研究開発,リサーチサイエンティスト,3660,2,10,3,0,13,3,FALSE,たまに,10,3,その他,4,3,3,3,4,4,FALSE,2009-04-01,
44,男性,既婚,人事,人事,10482,3,24,9,1,14,3,FALSE,たまに,1,2,医療,1,2,1,2,4,3,TRUE,1996-05-15,2016-09-03
33,男性,離婚,研究開発,ヘルスケア担当,7119,3,9,4,1,15,3,FALSE,たまに,5,3,ライフサイエンス,2,2,4,4,3,3,FALSE,2014-04-12,
35,男性,独身,営業,営業幹部,9582,3,9,0,0,22,4,TRUE,たまに,4,3,技術系,2,3,1,4,1,3,TRUE,2008-12-22,2017-03-16
33,女性,独身,研究開発,リサーチサイエンティスト,4508,2,14,1,0,22,4,FALSE,頻繁,29,4,医療,4,2,3,1,2,3,TRUE,2001-11-25,2015-04-17
28,男性,離婚,研究開発,ラボ技術者,2207,1,4,1,1,16,3,FALSE,たまに,15,2,ライフサイエンス,5,3,3,1,4,2,FALSE,2013-06-30,
34,男性,独身,研究開発,ヘルスケア担当,7756,2,7,0,0,17,3,FALSE,頻繁,3,1,ライフサイエンス,1,3,4,1,3,2,FALSE,2011-01-24,
37,女性,離婚,営業,営業幹部,6694,2,8,2,3,14,3,TRUE,たまに,10,4,ライフサイエンス,5,2,4,4,3,3,FALSE,2016-12-11,
25,男性,既婚,研究開発,ラボ技術者,3691,1,7,1,1,15,3,TRUE,たまに,4,1,技術系,3,3,4,4,2,4,TRUE,2009-03-12,2016-07-01
26,男性,離婚,研究開発,ラボ技術者,2377,1,1,1,1,20,4,FALSE,たまに,21,3,医療,0,3,3,1,3,2,TRUE,2010-10-08,2012-01-04
33,男性,独身,研究開発,リサーチサイエンティスト,2313,1,5,4,0,20,4,TRUE,たまに,25,3,医療,0,2,2,1,2,3,TRUE,2006-09-18,2009-02-05
42,男性,既婚,研究開発,マネージャー,17665,4,23,0,1,17,3,FALSE,たまに,2,2,医療,3,3,1,4,4,3,FALSE,1995-03-29,
28,男性,離婚,研究開発,ラボ技術者,2596,1,1,1,2,15,3,FALSE,頻繁,1,3,医療,2,2,2,1,1,3,TRUE,2015-02-27,2017-01-08
50,男性,独身,営業,営業幹部,4728,2,5,3,0,14,3,TRUE,頻繁,1,4,その他,4,3,3,4,4,3,TRUE,2009-04-02,2009-12-06
33,女性,既婚,営業,営業幹部,4302,2,4,0,1,17,3,FALSE,頻繁,7,3,ライフサイエンス,3,3,2,4,3,3,FALSE,2014-04-30,
34,男性,既婚,研究開発,リサーチサイエンティスト,2979,1,6,3,3,17,3,FALSE,なし,3,4,ライフサイエンス,2,2,4,3,4,3,FALSE,2017-11-02,
48,男性,独身,研究開発,マネージャー,16885,4,27,2,0,22,4,FALSE,なし,1,4,医療,3,4,4,1,3,2,FALSE,2012-03-14,
45,女性,既婚,営業,営業幹部,5593,2,15,1,1,13,3,FALSE,なし,9,4,ライフサイエンス,2,2,3,2,4,3,FALSE,2002-04-17,
52,男性,独身,研究開発,ヘルスケア担当,10445,3,18,7,0,19,3,FALSE,たまに,7,4,ライフサイエンス,4,3,2,2,4,3,FALSE,2009-01-27,
38,男性,離婚,営業,営業幹部,8740,3,9,0,2,14,3,TRUE,たまに,10,4,マーケティング,2,2,3,3,2,3,FALSE,2009-12-30,
29,女性,離婚,研究開発,リサーチサイエンティスト,2514,1,11,4,1,22,4,FALSE,たまに,28,4,ライフサイエンス,1,3,4,3,1,3,FALSE,2010-05-29,
28,女性,離婚,研究開発,製造ディレクター,7655,3,10,0,3,17,3,FALSE,たまに,3,3,医療,3,3,2,4,2,2,FALSE,2008-08-20,
46,男性,既婚,営業,マネージャー,17465,4,23,3,1,12,3,FALSE,たまに,3,1,マーケティング,3,3,3,1,4,3,FALSE,2005-04-05,
38,男性,独身,営業,営業幹部,7351,3,10,7,0,16,3,FALSE,たまに,2,2,マーケティング,2,3,2,4,3,3,FALSE,2016-03-29,
43,女性,既婚,研究開発,製造ディレクター,10820,3,18,8,1,11,3,FALSE,頻繁,27,3,ライフサイエンス,1,3,1,3,3,3,FALSE,2009-09-28,
39,男性,離婚,研究開発,ヘルスケア担当,12169,4,21,7,3,11,3,FALSE,頻繁,2,3,ライフサイエンス,4,3,4,1,4,3,TRUE,1991-07-04,2009-10-04
40,男性,独身,研究開発,リサーチディレクター,19626,5,21,1,0,14,3,FALSE,たまに,14,3,医療,2,2,3,3,1,4,FALSE,1997-04-29,
21,女性,独身,研究開発,リサーチサイエンティスト,2070,1,2,1,0,11,3,TRUE,たまに,1,1,技術系,6,2,2,4,3,4,FALSE,2015-07-09,
39,男性,独身,研究開発,ラボ技術者,6782,2,9,9,0,15,3,FALSE,なし,9,3,ライフサイエンス,2,3,2,3,3,2,FALSE,2012-08-16,
36,男性,独身,研究開発,製造ディレクター,7779,2,18,2,0,20,4,FALSE,なし,18,4,ライフサイエンス,0,3,4,1,1,3,FALSE,2006-12-12,
31,男性,既婚,営業,営業担当,2791,1,3,0,1,12,3,FALSE,頻繁,20,3,ライフサイエンス,4,4,4,3,1,3,FALSE,2015-02-08,
28,男性,既婚,研究開発,リサーチサイエンティスト,3201,1,6,0,0,17,3,FALSE,たまに,2,1,ライフサイエンス,2,2,2,1,1,1,FALSE,2012-03-14,
35,男性,離婚,営業,営業幹部,4968,2,5,1,1,11,3,FALSE,頻繁,11,2,マーケティング,3,3,4,4,4,3,FALSE,2012-07-10,
49,男性,既婚,営業,営業幹部,13120,4,22,6,1,17,3,FALSE,たまに,8,4,技術系,3,2,2,4,2,3,FALSE,2008-12-21,
34,男性,独身,研究開発,製造ディレクター,4033,2,5,2,0,11,3,FALSE,頻繁,2,2,ライフサイエンス,3,3,3,4,4,2,FALSE,2014-06-29,
29,女性,離婚,研究開発,リサーチサイエンティスト,3291,1,8,0,2,14,3,FALSE,頻繁,10,3,ライフサイエンス,2,3,2,4,4,2,FALSE,2010-08-18,
42,男性,独身,研究開発,ラボ技術者,4272,2,16,4,0,19,3,FALSE,たまに,29,3,医療,3,1,4,2,1,3,FALSE,2016-07-03,
29,男性,既婚,研究開発,製造ディレクター,5056,2,10,1,1,15,3,TRUE,たまに,8,1,医療,2,2,4,2,3,2,FALSE,2007-08-09,
38,男性,既婚,人事,人事,2844,1,7,1,1,13,3,FALSE,たまに,1,3,人事,2,4,3,3,4,4,FALSE,2010-12-25,
28,男性,離婚,研究開発,リサーチサイエンティスト,2703,1,3,1,1,14,3,TRUE,頻繁,6,3,ライフサイエンス,2,2,3,3,4,3,FALSE,2014-06-24,
18,男性,独身,研究開発,ラボ技術者,1904,1,0,1,0,12,3,FALSE,なし,8,1,医療,0,3,3,3,4,3,TRUE,2016-07-28,2016-09-24
33,女性,独身,営業,営業幹部,8224,2,6,0,0,17,3,TRUE,たまに,9,4,マーケティング,3,3,1,1,1,3,TRUE,2010-02-26,2015-05-12
41,男性,既婚,研究開発,ラボ技術者,4766,1,6,3,1,11,3,TRUE,たまに,12,4,ライフサイエンス,4,3,4,2,1,3,FALSE,2016-01-11,
31,男性,既婚,研究開発,ラボ技術者,2610,1,2,1,1,12,3,FALSE,頻繁,15,3,医療,5,3,3,3,3,2,TRUE,2013-03-12,2016-02-28
37,女性,離婚,研究開発,ヘルスケア担当,5731,2,9,7,2,13,3,FALSE,たまに,25,2,医療,2,2,4,3,3,3,FALSE,2011-03-30,
27,男性,既婚,研究開発,リサーチサイエンティスト,2539,1,4,1,1,13,3,FALSE,たまに,6,3,ライフサイエンス,0,2,3,4,3,3,FALSE,2013-12-05,
34,女性,既婚,営業,営業幹部,5714,2,6,1,0,20,4,FALSE,たまに,9,1,ライフサイエンス,3,3,3,2,1,2,FALSE,2011-06-28,
35,男性,独身,人事,人事,4323,1,6,1,0,17,3,FALSE,たまに,8,4,技術系,2,3,3,3,2,1,FALSE,2012-05-27,
29,女性,既婚,営業,営業幹部,7336,3,11,1,1,13,3,FALSE,たまに,23,1,ライフサイエンス,3,2,1,4,1,1,TRUE,1998-09-04,2010-02-10
40,女性,独身,研究開発,リサーチディレクター,13499,3,20,9,0,17,3,FALSE,頻繁,9,4,医療,3,3,3,2,3,2,FALSE,2000-01-01,
42,男性,独身,営業,営業幹部,13758,4,22,0,0,12,3,TRUE,頻繁,12,3,ライフサイエンス,2,3,1,3,2,2,TRUE,1993-02-25,2014-08-03
42,男性,独身,営業,営業幹部,5155,2,9,7,0,13,3,FALSE,たまに,4,4,マーケティング,3,3,1,2,4,4,FALSE,2011-07-03,
35,男性,既婚,研究開発,ラボ技術者,2258,1,10,6,1,12,3,FALSE,たまに,1,4,医療,2,2,3,4,2,3,FALSE,2009-05-02,
24,男性,独身,研究開発,ラボ技術者,3597,1,6,8,0,22,4,FALSE,たまに,24,3,医療,2,3,2,4,4,3,FALSE,2013-04-23,
28,女性,既婚,研究開発,ラボ技術者,2515,1,1,1,0,11,3,TRUE,たまに,12,1,ライフサイエンス,4,3,4,3,4,2,TRUE,2008-05-07,2010-02-17
26,男性,既婚,研究開発,ラボ技術者,4420,1,8,1,1,22,4,FALSE,たまに,3,4,医療,2,4,4,1,2,3,FALSE,2009-11-12,
30,男性,既婚,営業,営業幹部,6578,2,10,1,1,18,3,FALSE,たまに,10,3,マーケティング,3,2,3,3,1,3,FALSE,2007-11-03,
40,女性,既婚,研究開発,リサーチサイエンティスト,4422,2,16,3,1,13,3,TRUE,頻繁,26,2,医療,3,2,4,3,4,1,FALSE,2016-03-30,
35,男性,離婚,研究開発,製造ディレクター,10274,3,15,2,1,18,3,FALSE,たまに,2,3,ライフサイエンス,2,2,2,3,2,4,FALSE,2010-07-24,
34,男性,独身,研究開発,ヘルスケア担当,5343,2,14,0,0,20,4,FALSE,頻繁,1,3,医療,3,2,1,4,3,3,FALSE,2004-05-16,
35,男性,既婚,研究開発,ラボ技術者,2376,1,2,1,1,13,3,FALSE,頻繁,4,4,その他,2,2,4,4,2,4,FALSE,2015-11-25,
43,女性,独身,営業,営業幹部,5346,2,7,8,0,13,3,FALSE,たまに,9,3,マーケティング,2,1,3,1,2,2,TRUE,2011-09-04,2016-07-05
32,女性,離婚,営業,営業担当,2827,1,1,1,3,12,3,FALSE,なし,2,1,ライフサイエンス,3,3,1,3,3,3,FALSE,2016-09-01,
56,女性,離婚,研究開発,マネージャー,19943,5,28,4,1,13,3,FALSE,たまに,4,4,技術系,2,3,1,4,4,3,FALSE,2012-10-20,
29,女性,既婚,研究開発,ラボ技術者,3131,1,10,1,1,13,3,FALSE,たまに,6,1,医療,5,3,4,2,1,3,FALSE,2007-04-23,
19,男性,独身,研究開発,リサーチサイエンティスト,2552,1,1,1,0,25,4,FALSE,たまに,9,2,ライフサイエンス,4,3,1,3,3,3,FALSE,2016-11-02,
45,女性,既婚,研究開発,リサーチサイエンティスト,4477,1,7,4,1,19,3,TRUE,たまに,7,3,医療,2,3,3,1,3,2,FALSE,2014-12-06,
37,女性,既婚,研究開発,製造ディレクター,6474,2,14,1,1,13,3,FALSE,たまに,1,3,ライフサイエンス,2,2,4,4,2,2,FALSE,2003-12-19,
20,男性,独身,研究開発,ラボ技術者,3033,1,2,1,0,12,3,FALSE,たまに,3,3,ライフサイエンス,2,2,3,1,1,2,FALSE,2015-02-27,
44,男性,独身,研究開発,リサーチサイエンティスト,2936,1,6,1,0,11,3,TRUE,たまに,10,4,ライフサイエンス,4,3,3,3,3,3,TRUE,2002-03-30,2008-08-12
53,女性,離婚,研究開発,マネージャー,18606,5,26,3,1,18,3,FALSE,たまに,7,2,医療,6,3,3,4,2,3,FALSE,2010-02-14,
29,女性,既婚,研究開発,リサーチサイエンティスト,2168,1,6,0,1,18,3,TRUE,たまに,15,1,ライフサイエンス,2,1,4,2,1,2,FALSE,2012-11-29,
22,男性,既婚,研究開発,リサーチサイエンティスト,2853,1,1,0,1,11,3,TRUE,頻繁,3,4,ライフサイエンス,5,2,4,3,2,3,TRUE,2016-06-08,2016-12-06
46,女性,既婚,営業,マネージャー,17048,4,28,8,0,23,4,FALSE,たまに,2,3,マーケティング,2,3,1,3,1,3,FALSE,1991-04-01,
44,男性,独身,研究開発,リサーチサイエンティスト,2290,1,6,2,0,13,3,FALSE,なし,17,3,ライフサイエンス,3,1,3,4,4,3,FALSE,2017-05-25,
33,男性,既婚,人事,人事,3600,1,5,1,1,13,3,FALSE,たまに,2,3,人事,2,3,3,2,4,3,FALSE,2012-06-22,
41,男性,離婚,研究開発,リサーチサイエンティスト,2107,1,5,6,1,17,3,FALSE,なし,5,2,ライフサイエンス,2,2,1,1,1,1,TRUE,2013-11-23,2015-10-21
30,男性,離婚,営業,営業幹部,4115,2,8,8,3,19,3,FALSE,たまに,29,4,ライフサイエンス,3,3,1,3,3,3,FALSE,2013-01-06,
40,男性,既婚,営業,営業幹部,4327,2,5,5,3,12,3,FALSE,頻繁,2,4,医療,2,3,2,2,4,3,FALSE,2017-09-21,
50,女性,既婚,研究開発,マネージャー,17856,4,32,2,1,22,4,FALSE,頻繁,2,3,医療,3,3,1,4,3,3,FALSE,2015-11-18,
28,男性,既婚,研究開発,ラボ技術者,3196,1,6,1,3,12,3,FALSE,たまに,19,4,医療,2,2,1,4,3,3,FALSE,2011-10-30,
46,男性,既婚,研究開発,リサーチディレクター,19081,5,25,5,1,11,3,FALSE,たまに,15,2,ライフサイエンス,2,3,2,4,1,3,FALSE,2013-02-14,
35,男性,既婚,営業,営業幹部,8966,2,15,3,3,15,3,TRUE,たまに,17,4,ライフサイエンス,2,3,1,3,4,3,FALSE,2010-11-17,
24,女性,既婚,研究開発,ラボ技術者,2210,1,1,1,1,13,3,FALSE,たまに,17,2,ライフサイエンス,3,3,2,4,1,1,TRUE,2015-12-30,2017-04-17
33,女性,既婚,営業,営業幹部,4539,2,10,1,1,12,3,FALSE,頻繁,25,3,医療,3,3,3,2,1,2,FALSE,2007-11-03,
36,男性,離婚,研究開発,ラボ技術者,2741,1,7,1,1,14,3,FALSE,たまに,6,4,ライフサイエンス,4,1,3,3,3,3,FALSE,2010-12-06,
30,男性,離婚,研究開発,ラボ技術者,3491,2,10,1,3,13,3,FALSE,たまに,7,4,ライフサイエンス,4,3,3,3,1,2,FALSE,2007-10-07,
44,男性,独身,研究開発,リサーチサイエンティスト,4541,2,20,1,0,25,4,FALSE,たまに,29,4,その他,3,3,4,4,2,3,FALSE,1997-04-15,
20,男性,独身,営業,営業担当,2678,1,2,1,0,17,3,FALSE,たまに,21,3,マーケティング,2,4,4,3,4,3,FALSE,2015-05-11,
46,男性,離婚,研究開発,製造ディレクター,7379,2,12,2,1,11,3,FALSE,たまに,2,4,技術系,3,3,4,4,3,2,FALSE,2011-12-05,
42,男性,既婚,人事,人事,6272,2,10,7,1,16,3,FALSE,なし,2,5,医療,3,4,1,4,1,4,FALSE,2013-10-30,
60,男性,離婚,営業,営業幹部,5220,2,12,0,1,18,3,TRUE,たまに,7,4,マーケティング,3,4,4,2,2,3,FALSE,2006-11-10,
32,女性,既婚,研究開発,ラボ技術者,2743,1,2,1,1,20,4,FALSE,頻繁,13,3,その他,2,2,2,3,3,3,FALSE,2015-08-12,
32,女性,独身,研究開発,リサーチサイエンティスト,4998,2,10,4,0,14,3,TRUE,頻繁,2,2,ライフサイエンス,2,3,3,4,4,3,FALSE,2009-10-09,
36,女性,離婚,研究開発,製造ディレクター,10252,3,17,2,1,21,4,TRUE,たまに,1,3,技術系,2,1,1,3,3,3,FALSE,2010-06-11,
33,男性,既婚,研究開発,リサーチサイエンティスト,2781,1,15,0,1,13,3,FALSE,たまに,9,3,医療,5,3,4,1,2,3,FALSE,2003-06-03,
40,女性,離婚,営業,営業幹部,6852,2,7,7,1,12,3,FALSE,たまに,10,3,技術系,2,2,2,2,2,4,FALSE,2012-11-26,
25,男性,独身,営業,営業幹部,4950,2,5,0,0,14,3,FALSE,たまに,10,4,ライフサイエンス,4,3,4,3,2,3,FALSE,2013-11-04,
30,男性,既婚,研究開発,リサーチサイエンティスト,3579,1,12,0,1,21,4,TRUE,たまに,1,3,医療,2,3,2,4,1,3,FALSE,2006-01-30,
42,女性,既婚,研究開発,リサーチディレクター,13191,3,20,3,0,17,3,TRUE,頻繁,26,5,医療,6,3,1,1,3,3,FALSE,2016-02-22,
35,女性,既婚,営業,営業幹部,10377,3,16,4,1,11,3,TRUE,なし,8,2,マーケティング,6,2,4,3,2,2,FALSE,2004-02-06,
27,男性,既婚,研究開発,リサーチサイエンティスト,2235,1,9,1,2,14,3,TRUE,たまに,14,3,ライフサイエンス,3,3,1,1,4,2,FALSE,2008-11-20,
54,女性,離婚,研究開発,製造ディレクター,10502,3,33,7,1,17,3,FALSE,頻繁,1,4,ライフサイエンス,2,3,3,4,1,1,FALSE,2012-12-19,
44,女性,既婚,研究開発,リサーチサイエンティスト,2011,1,10,1,1,13,3,FALSE,たまに,2,1,ライフサイエンス,5,4,4,1,4,3,FALSE,2007-06-02,
19,女性,独身,研究開発,リサーチサイエンティスト,1859,1,1,1,0,25,4,TRUE,なし,10,3,医療,2,2,2,1,2,4,TRUE,2011-02-14,2012-06-07
29,女性,離婚,研究開発,リサーチサイエンティスト,3760,1,3,1,3,15,3,FALSE,たまに,1,3,ライフサイエンス,5,3,4,1,1,3,FALSE,2014-06-12,
54,男性,既婚,研究開発,リサーチディレクター,17779,4,36,3,0,14,3,FALSE,たまに,3,3,ライフサイエンス,2,3,4,4,1,3,FALSE,2007-08-26,
31,男性,既婚,研究開発,ヘルスケア担当,6833,2,6,1,0,12,3,TRUE,たまに,11,2,医療,2,3,1,3,4,2,FALSE,2011-11-11,
31,女性,独身,研究開発,ヘルスケア担当,6812,2,10,1,0,19,3,FALSE,たまに,24,3,医療,2,2,1,3,2,3,FALSE,2007-06-09,
59,女性,独身,営業,営業幹部,5171,2,13,5,0,17,3,FALSE,たまに,3,3,ライフサイエンス,2,2,4,3,4,3,FALSE,2011-09-02,
43,男性,既婚,研究開発,リサーチディレクター,19740,5,25,3,1,14,3,FALSE,たまに,3,3,ライフサイエンス,2,1,4,3,2,3,FALSE,2009-11-19,
49,男性,既婚,研究開発,マネージャー,18711,5,23,2,1,13,3,FALSE,たまに,4,2,医療,2,2,3,1,3,4,FALSE,2016-09-30,
36,男性,既婚,研究開発,リサーチサイエンティスト,3692,1,12,1,0,12,3,FALSE,頻繁,3,3,技術系,2,3,2,3,3,2,FALSE,2006-08-26,
48,男性,独身,研究開発,ラボ技術者,2559,1,7,5,0,11,3,FALSE,たまに,2,2,技術系,4,4,2,4,3,2,FALSE,2016-03-04,
27,男性,離婚,研究開発,リサーチサイエンティスト,2517,1,5,1,3,11,3,FALSE,たまに,4,2,ライフサイエンス,2,3,3,1,2,3,FALSE,2012-03-21,
29,男性,離婚,研究開発,ヘルスケア担当,6623,2,6,1,2,11,3,TRUE,たまに,7,3,ライフサイエンス,2,3,4,3,2,3,FALSE,2011-01-24,
48,男性,独身,研究開発,リサーチディレクター,18265,5,25,6,0,12,3,FALSE,たまに,1,3,ライフサイエンス,3,2,4,4,3,4,FALSE,2016-03-01,
29,女性,離婚,研究開発,リサーチディレクター,16124,4,9,3,2,14,3,FALSE,たまに,1,3,ライフサイエンス,2,2,4,4,2,2,FALSE,2010-11-08,
34,女性,既婚,研究開発,リサーチサイエンティスト,2585,1,2,0,0,17,3,FALSE,たまに,20,3,技術系,5,4,3,3,4,2,FALSE,2016-05-31,
44,男性,既婚,営業,マネージャー,18213,5,26,7,1,11,3,FALSE,たまに,5,3,マーケティング,5,3,2,2,3,3,FALSE,1995-03-07,
33,男性,離婚,営業,営業幹部,8380,3,10,0,2,14,3,TRUE,たまに,10,5,マーケティング,3,4,3,4,4,3,FALSE,2008-05-15,
19,女性,独身,研究開発,リサーチサイエンティスト,2994,1,1,1,0,12,3,TRUE,たまに,25,3,ライフサイエンス,2,4,4,2,4,3,FALSE,2016-07-14,
